Band,Capture,Stage,Used,ExclusionReason
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,BP,1,"usada"
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,COMP,1,"usada"
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,LP,0,"descartada por saturación de CH4"
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,LP_PGA,0,"descartada por saturación de CH4"
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,BP,1,"usada"
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,COMP,1,"usada"
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,LP,0,"descartada por saturación de CH4"
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,LP_PGA,0,"descartada por saturación de CH4"
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,BP,1,"usada"
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,COMP,1,"usada"
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,LP,0,"descartada por saturación de CH4"
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,LP_PGA,0,"descartada por saturación de CH4"
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,BP,1,"usada"
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,COMP,1,"usada"
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,LP,0,"descartada por saturación de CH4"
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,LP_PGA,0,"descartada por saturación de CH4"
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,BP,1,"usada"
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,COMP,1,"usada"
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,LP,0,"descartada por saturación de CH4"
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,LP_PGA,0,"descartada por saturación de CH4"
50Hzto500Hz_400ms_50ms_div,ALL0001_F0001,BP,0,"descartada por saturación de CH2"
50Hzto500Hz_400ms_50ms_div,ALL0001_F0001,COMP,0,"descartada por saturación de CH2"
50Hzto500Hz_400ms_50ms_div,ALL0001_F0001,LP,0,"descartada por saturación de CH2,CH4"
50Hzto500Hz_400ms_50ms_div,ALL0001_F0001,LP_PGA,0,"descartada por saturación de CH2,CH4"
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,BP,1,"usada"
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,COMP,1,"usada"
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,LP,0,"descartada por saturación de CH4"
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,LP_PGA,0,"descartada por saturación de CH4"
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,BP,1,"usada"
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,COMP,1,"usada"
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,LP,0,"descartada por saturación de CH4"
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,LP_PGA,0,"descartada por saturación de CH4"
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,BP,1,"usada"
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,COMP,1,"usada"
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,LP,0,"descartada por saturación de CH4"
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,LP_PGA,0,"descartada por saturación de CH4"
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,BP,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,COMP,1,"usada"
